year,president,party,against,american,change,child,crisis,faith,family,great,hope,together,unite,interesting_total,speech_total,percent_interesting
1790,Washington,Nonpartisan   [13],0,0,0,0,0,0,0,0,0,0,0,0,0,0
1791,Washington,Nonpartisan   [13],1,0,1,0,0,0,0,1,1,2,18,24,2303,1.042118975
1792,Washington,Nonpartisan   [13],4,0,0,0,0,0,0,0,3,0,5,12,2098,0.571973308
1793,Washington,Nonpartisan   [13],2,0,1,0,0,2,0,0,3,0,22,30,1965,1.526717557
1794,Washington,Nonpartisan   [13],8,2,0,0,1,2,0,2,1,0,17,33,2915,1.132075472
1795,Washington,Nonpartisan   [13],0,1,2,1,0,1,0,2,2,1,6,16,1986,0.805639476
1796,Washington,Nonpartisan   [13],2,1,1,0,0,0,0,13,1,0,17,35,2867,1.22078828
1797,Adams,Federalist,3,1,0,0,0,2,0,5,2,1,19,33,2057,1.604278075
1798,Adams,Federalist,1,1,1,0,0,0,0,6,0,1,14,24,2218,1.082055906
1799,Adams,Federalist,1,2,1,0,0,3,0,4,1,1,10,23,1505,1.528239203
1800,Adams,Federalist,0,0,2,0,0,3,0,7,1,1,7,21,1372,1.530612245
1801,Jefferson,Democratic-  Republican,4,0,2,0,0,2,0,6,1,0,2,17,3224,0.527295285
1802,Jefferson,Democratic-  Republican,1,2,3,0,0,3,0,7,2,1,1,20,2201,0.908677874
1803,Jefferson,Democratic-  Republican,1,1,3,0,0,1,0,3,1,2,5,17,2279,0.745941202
1804,Jefferson,Democratic-  Republican,2,1,0,0,0,1,0,6,0,0,2,12,2101,0.571156592
1805,Jefferson,Democratic-  Republican,3,0,1,0,0,2,0,2,4,0,1,13,2943,0.44172613
1806,Jefferson,Democratic-  Republican,5,1,1,0,0,2,0,7,0,1,8,25,2868,0.871687587
1807,Jefferson,Democratic-  Republican,8,0,2,0,0,0,0,4,0,0,4,18,2394,0.751879699
1808,Jefferson,Democratic-  Republican,2,0,3,0,2,0,0,7,0,0,8,22,2688,0.818452381
1809,Madison,Democratic-  Republican,1,2,2,0,0,1,0,3,1,1,10,21,1831,1.146914255
1810,Madison,Democratic-  Republican,3,3,2,0,0,0,1,7,0,0,12,28,2446,1.144726083
1811,Madison,Democratic-  Republican,7,4,4,0,2,1,0,7,1,2,15,43,2275,1.89010989
1812,Madison,Democratic-  Republican,10,6,0,0,0,1,0,7,2,2,7,35,3242,1.079580506
1813,Madison,Democratic-  Republican,10,11,1,0,0,0,0,11,2,0,16,51,3258,1.565377532
1814,Madison,Democratic-  Republican,8,10,1,0,0,0,0,12,2,1,2,36,2114,1.702932829
1815,Madison,Democratic-  Republican,4,7,1,0,0,2,0,7,1,1,10,33,3154,1.046290425
1816,Madison,Democratic-  Republican,4,9,3,0,0,2,0,10,0,1,12,41,3367,1.217701218
1817,Monroe,Democratic-  Republican,1,0,4,0,0,1,0,20,1,2,18,47,4427,1.061667043
1818,Monroe,Democratic-  Republican,2,1,1,0,0,0,0,19,4,3,24,54,4377,1.233721727
1819,Monroe,Democratic-  Republican,4,0,3,0,0,2,0,15,2,2,31,59,4711,1.252388028
1820,Monroe,Democratic-  Republican,0,0,6,0,0,1,0,25,3,3,16,54,3441,1.569311247
1821,Monroe,Democratic-  Republican,2,0,7,0,0,2,0,22,1,1,34,69,5823,1.184956208
1822,Monroe,Democratic-  Republican,2,1,1,0,0,3,0,29,4,0,20,60,4734,1.267427123
1823,Monroe,Democratic-  Republican,5,2,3,0,0,2,0,31,7,2,24,76,6382,1.190849264
1824,Monroe,Democratic-  Republican,2,3,2,0,1,4,0,34,9,2,20,77,8418,0.914706581
1825,Adams,Democratic-  Republican,7,7,6,1,0,4,3,13,5,3,24,73,9003,0.810840831
1826,Adams,Democratic-  Republican,3,1,7,1,0,3,0,14,5,3,46,83,7748,1.071244192
1827,Adams,Democratic-  Republican,1,2,3,0,0,0,0,17,6,2,30,61,6987,0.87304995
1828,Adams,Democratic-  Republican,2,3,7,2,0,0,1,31,5,2,26,79,7313,1.080268016
1829,Jackson,Democratic,8,2,4,0,0,2,2,23,10,4,25,80,10523,0.760239475
1830,Jackson,Democratic,7,6,14,4,0,3,0,50,13,4,35,136,15072,0.902335456
1831,Jackson,Democratic,2,6,4,0,1,3,0,17,13,1,12,59,7189,0.820698289
1832,Jackson,Democratic,2,4,2,0,0,7,0,16,13,0,12,56,7875,0.711111111
1833,Jackson,Democratic,3,7,13,0,0,5,0,17,12,3,44,104,7901,1.316289077
1834,Jackson,Democratic,11,6,16,0,0,7,0,24,8,3,54,129,13446,0.959393128
1835,Jackson,Democratic,7,12,10,0,0,6,1,23,11,2,45,117,10809,1.082431307
1836,Jackson,Democratic,7,4,15,0,2,2,0,32,9,3,31,105,12355,0.849858357
1837,Buren,Democratic,4,1,8,0,0,6,1,30,7,2,30,89,11438,0.778108061
1838,Buren,Democratic,14,5,13,0,1,6,0,17,11,1,60,128,11478,1.11517686
1839,Buren,Democratic,6,4,15,1,1,8,0,32,6,1,20,94,13419,0.700499292
1840,Buren,Democratic,5,5,5,0,2,6,1,31,8,1,17,81,8979,0.902104911
1841,Tyler,"Whig   April 4, 1841  â€“  September 13, 1841",10,11,10,1,0,5,0,32,5,3,27,104,8240,1.262135922
1842,Tyler,"Whig   April 4, 1841  â€“  September 13, 1841",11,11,10,0,0,5,0,36,6,5,29,113,8401,1.345077967
1843,Tyler,"Whig   April 4, 1841  â€“  September 13, 1841",8,5,14,0,0,0,2,32,7,2,30,100,8026,1.24595066
1844,Tyler,"Whig   April 4, 1841  â€“  September 13, 1841",15,7,8,0,0,2,1,44,9,6,35,127,9309,1.364271135
1845,Polk,Democratic,14,22,4,0,0,6,2,54,5,7,77,191,16112,1.185451837
1846,Polk,Democratic,36,17,10,0,0,10,0,28,10,2,102,215,18221,1.179957192
1847,Polk,Democratic,20,18,9,2,0,5,1,32,5,8,68,168,16411,1.023703613
1848,Polk,Democratic,14,10,13,0,0,3,0,76,5,8,49,178,21290,0.836073274
1849,Taylor,Whig,4,14,3,1,0,5,1,18,5,1,28,80,7619,1.050006563
1850,Fillmore,Whig,8,3,8,0,0,6,0,21,8,3,24,81,8318,0.973791777
1851,Fillmore,Whig,29,7,3,0,0,3,0,24,13,4,52,135,13243,1.019406479
1852,Fillmore,Whig,13,4,10,1,0,2,3,22,6,5,28,94,9922,0.947389639
1853,Pierce,Democratic,13,4,4,0,0,5,0,25,10,5,35,101,9587,1.053509961
1854,Pierce,Democratic,4,6,6,0,0,1,0,25,8,3,44,97,10134,0.95717387
1855,Pierce,Democratic,13,12,6,0,1,9,0,51,5,3,66,166,11610,1.429801895
1856,Pierce,Democratic,9,3,7,1,0,2,1,32,3,1,59,118,10473,1.12670677
1857,Buchanan,Democratic,30,7,10,0,3,3,2,42,6,5,45,153,13651,1.120797011
1858,Buchanan,Democratic,21,22,7,2,2,1,0,31,11,1,70,168,16347,1.027711507
1859,Buchanan,Democratic,22,26,9,1,1,6,0,25,8,2,32,132,12336,1.070038911
1860,Buchanan,Democratic,30,17,8,1,0,5,1,19,7,3,41,132,14025,0.941176471
1861,Lincoln,Republican   ( National Union )   [i],11,3,2,0,0,4,0,16,7,7,9,59,6976,0.845756881
1862,Lincoln,Republican   ( National Union )   [i],6,4,5,1,0,1,1,29,1,2,29,79,8392,0.941372736
1863,Lincoln,Republican   ( National Union )   [i],3,3,5,0,3,3,0,19,10,1,27,74,6111,1.210931108
1864,Lincoln,Republican   ( National Union )   [i],8,4,7,0,1,2,0,20,3,0,16,61,5989,1.018533979
1865,Johnson,National Union   [i]   ( Democratic )   [j],10,7,5,0,0,5,1,34,4,2,45,113,9218,1.225862443
1866,Johnson,Democratic,11,5,6,0,1,9,0,19,3,1,34,89,7127,1.248772274
1867,Johnson,Democratic,10,9,6,3,0,14,0,37,2,8,18,107,11981,0.893080711
1868,Johnson,Democratic,5,8,4,0,0,4,2,26,6,0,38,93,9817,0.947336253
1869,Grant,Republican,7,3,6,0,0,6,2,19,7,0,40,90,7702,1.168527655
1870,Grant,Republican,6,14,5,0,0,4,0,28,8,1,57,123,8736,1.407967033
1871,Grant,Republican,6,8,5,4,0,0,2,20,8,0,34,87,6458,1.347166305
1872,Grant,Republican,0,6,4,0,0,0,1,18,7,0,29,65,3989,1.629481073
1873,Grant,Republican,15,18,6,3,1,0,0,21,7,1,46,118,10022,1.177409699
1874,Grant,Republican,8,11,10,1,0,6,0,25,11,1,30,103,9194,1.120295845
1875,Grant,Republican,6,11,6,4,0,2,0,32,10,2,59,132,12203,1.081701221
1876,Grant,Republican,11,5,9,1,0,1,0,15,2,3,47,94,6793,1.383777418
1877,Hayes,Republican,6,7,10,0,0,6,0,22,3,0,28,82,8017,1.022826494
1878,Hayes,Republican,4,2,4,4,0,5,0,12,3,0,23,57,7881,0.72325847
1879,Hayes,Republican,3,10,15,2,0,1,0,29,3,1,50,114,11632,0.980055021
1880,Hayes,Republican,5,7,3,0,0,3,1,16,5,3,29,72,6697,1.075108257
1881,Arthur,Republican,3,14,5,0,0,0,1,4,5,0,19,51,3822,1.334379906
1882,Arthur,Republican,3,8,4,0,0,1,0,3,3,0,14,36,3067,1.173785458
1883,Arthur,Republican,5,6,4,0,0,2,1,2,2,0,16,38,3784,1.00422833
1884,Arthur,Republican,6,17,7,2,0,1,0,9,5,3,29,79,8947,0.882977534
1885,Cleveland,Democratic,23,19,18,6,0,8,3,25,11,2,70,185,19746,0.936898612
1886,Cleveland,Democratic,13,21,16,2,0,3,2,17,10,3,37,124,15135,0.819293029
1887,Cleveland,Democratic,2,5,3,1,0,0,3,8,1,2,1,26,5289,0.491586311
1888,Cleveland,Democratic,6,23,6,3,1,1,0,12,6,2,19,79,9020,0.875831486
1889,Harrison,Republican,8,22,3,3,0,4,0,36,5,3,33,117,13001,0.899930775
1890,Harrison,Republican,13,14,13,0,0,4,1,32,13,0,36,126,11522,1.093560146
1891,Harrison,Republican,22,14,15,5,0,3,1,39,13,2,59,173,16292,1.061870857
1892,Harrison,Republican,15,39,15,1,0,2,1,54,8,2,42,179,13678,1.308670858
1893,Cleveland,Democratic,14,19,11,2,0,3,1,28,5,4,42,129,12283,1.050232028
1894,Cleveland,Democratic,20,25,8,0,0,2,2,31,8,2,45,143,15892,0.899823811
1895,Cleveland,Democratic,18,15,16,0,0,6,0,27,7,4,58,151,14671,1.029241361
1896,Cleveland,Democratic,15,11,10,4,0,6,1,27,17,5,37,133,15443,0.861231626
1897,McKinley,Republican,6,16,12,1,0,2,0,18,6,0,49,110,12110,0.908340215
1898,McKinley,Republican,13,28,16,1,1,1,1,29,16,0,100,206,20208,1.019398258
1899,McKinley,Republican,8,51,14,0,0,2,1,39,8,1,81,205,15133,1.354655389
1900,McKinley,Republican,21,43,11,2,0,8,1,37,10,3,64,200,19134,1.045259747
1901,Roosevelt,Republican,25,49,8,3,4,4,2,77,10,6,31,219,19595,1.117632049
1902,Roosevelt,Democratic,11,6,17,0,2,0,1,36,9,2,8,92,9756,0.94300943
1903,Roosevelt,Republican,15,13,7,1,0,4,0,36,5,2,68,151,14876,1.015057811
1904,Roosevelt,Democratic,24,29,6,22,1,1,2,59,7,7,28,186,17406,1.068597036
1905,Roosevelt,Democratic,46,51,17,15,0,6,5,79,13,6,43,281,25033,1.122518276
1906,Roosevelt,Republican,33,55,4,9,2,0,4,65,11,12,41,236,23575,1.001060445
1907,Roosevelt,Democratic,26,28,24,12,2,0,4,78,11,11,43,239,27382,0.87283617
1908,Roosevelt,Democratic,25,19,16,7,0,3,4,66,5,2,25,172,19383,0.887375535
1909,Taft,Republican,11,52,16,0,0,2,0,49,17,4,55,206,13889,1.483188134
1910,Taft,Republican,8,38,7,0,0,0,0,16,3,3,45,120,6763,1.774360491
1911,Taft,Republican,20,82,14,0,0,2,0,69,19,6,63,275,23704,1.160141748
1912,Taft,Republican,23,100,17,2,1,1,3,79,16,9,98,349,25150,1.387673956
1913,Wilson,Democratic,1,0,0,0,0,0,0,6,7,1,6,21,3552,0.591216216
1914,Wilson,Democratic,3,2,3,0,0,2,0,31,6,3,7,57,4533,1.2574454
1915,Wilson,Democratic,7,12,2,0,0,0,1,25,8,9,6,70,7686,0.910746812
1916,Wilson,Democratic,1,0,0,0,0,0,0,6,2,0,1,10,2117,0.472366556
1917,Wilson,Democratic,7,3,0,0,0,0,0,9,1,1,3,24,3913,0.613340148
1918,Wilson,Democratic,3,2,3,0,0,1,0,22,12,0,1,44,5465,0.805123513
1919,Wilson,Democratic,5,8,5,2,0,0,0,16,5,1,3,45,4755,0.94637224
1920,Wilson,Democratic,3,1,0,0,0,16,1,7,2,0,8,38,2705,1.404805915
1921,Harding,Republican,3,19,8,1,0,1,0,13,5,1,1,52,5604,0.927908637
1922,Harding,Republican,7,23,4,2,1,2,0,8,1,0,5,53,5744,0.92270195
1923,Coolidge,Republican,5,13,5,1,0,3,0,29,3,3,4,66,6701,0.984927623
1924,Coolidge,Republican,2,10,4,0,0,0,0,29,6,1,3,55,6964,0.789775991
1925,Coolidge,Republican,2,3,11,0,0,2,2,32,1,1,6,60,10843,0.553352393
1926,Coolidge,Republican,3,13,5,0,1,2,1,30,3,4,6,68,10308,0.659681801
1927,Coolidge,Republican,5,10,4,2,0,1,0,22,1,0,9,54,8777,0.615244389
1928,Coolidge,Republican,4,17,5,1,0,2,1,13,3,0,10,56,8060,0.694789082
1929,Hoover,Republican,3,15,9,6,2,2,0,18,8,4,15,82,10993,0.745929228
1930,Hoover,Republican,1,0,3,1,0,1,1,4,0,3,3,17,4546,0.373955125
1931,Hoover,Republican,6,2,4,2,3,2,1,13,1,3,2,39,5686,0.685895181
1932,Hoover,Republican,2,1,6,1,4,1,0,21,1,1,1,39,4210,0.926365796
1934,Roosevelt,Republican,2,7,3,2,2,0,0,9,1,1,2,29,2223,1.30454341
1935,Roosevelt,Republican,2,9,4,3,0,1,0,16,2,0,4,41,3515,1.166429587
1936,Roosevelt,Democratic,8,4,5,3,2,4,0,14,5,0,13,58,3810,1.522309711
1937,Roosevelt,Democratic,0,5,2,3,1,2,1,4,2,0,5,25,2730,0.915750916
1938,Roosevelt,Democratic,2,3,4,1,0,2,1,12,3,0,10,38,4677,0.812486637
1939,Roosevelt,Republican,9,12,3,2,0,10,0,4,3,4,8,55,3736,1.472162741
1940,Roosevelt,Democratic,5,14,0,5,1,3,0,10,8,1,13,60,3170,1.892744479
1941,Roosevelt,Republican,5,16,2,2,1,2,0,15,0,1,5,49,3288,1.49026764
1942,Roosevelt,Republican,14,13,0,0,0,2,2,9,3,2,18,63,3470,1.81556196
1943,Roosevelt,Republican,8,18,1,0,1,3,1,27,3,5,15,82,4533,1.808956541
1944,Roosevelt,Democratic,3,12,1,3,1,0,3,10,2,3,4,42,3755,1.118508655
1945,Roosevelt,Democratic,24,19,5,0,0,3,1,28,10,14,13,117,8124,1.440177253
1946,Truman,Democratic,18,20,15,5,0,1,5,54,18,7,92,235,27722,0.847702186
1947,Truman,Democratic,2,6,2,1,0,4,1,18,5,4,11,54,6033,0.895077076
1948,Truman,Democratic,7,4,2,2,2,8,2,26,3,5,13,74,5091,1.453545472
1949,Truman,Democratic,6,5,1,1,0,3,2,13,1,4,6,42,3397,1.236385046
1950,Truman,Democratic,6,2,5,4,0,1,2,28,3,4,11,66,5126,1.287553648
1951,Truman,Democratic,10,3,0,1,0,0,0,13,7,12,10,56,3988,1.404212638
1952,Truman,Democratic,5,7,1,0,2,2,0,27,10,8,9,71,5334,1.331083615
1953,Truman,Democratic,16,10,22,1,0,8,1,35,12,6,26,137,9599,1.427232003
1954,Eisenhower,Republican,6,11,5,2,0,0,2,13,5,1,12,57,5974,0.954134583
1955,Eisenhower,Republican,2,11,3,3,0,8,0,15,6,4,10,62,7234,0.857063865
1956,Eisenhower,Republican,10,14,8,8,0,0,1,19,2,5,16,83,8245,1.00667071
1957,Eisenhower,Republican,10,6,5,3,0,0,1,4,3,1,11,44,4129,1.065633325
1958,Eisenhower,Republican,6,13,2,0,0,0,0,12,2,2,6,43,4911,0.87558542
1959,Eisenhower,Republican,6,8,3,2,0,0,2,18,8,1,8,56,4869,1.150133498
1960,Eisenhower,Republican,8,14,2,1,0,5,0,14,7,3,11,65,5628,1.154939588
1961,Eisenhower,Republican,3,29,2,4,1,0,2,15,3,0,17,76,6188,1.228183581
1962,Kennedy,Democratic,3,13,4,6,1,3,1,10,10,3,17,71,6436,1.103169671
1963,Kennedy,Democratic,1,17,4,4,2,1,0,8,5,0,8,50,5326,0.938790837
1964,Johnson,Democratic,3,15,0,3,1,8,3,2,11,1,2,49,3187,1.537496078
1965,Johnson,National Union   [i]   ( Democratic )   [j],5,24,2,5,0,3,0,13,8,6,5,71,4394,1.615839782
1966,Johnson,National Union   [i]   ( Democratic )   [j],5,18,4,5,0,0,2,13,12,5,7,71,5255,1.351094196
1967,Johnson,Democratic,3,33,6,10,0,1,2,28,14,10,5,112,7111,1.57502461
1968,Johnson,Democratic,4,25,8,7,3,1,2,5,12,4,4,75,4855,1.544799176
1969,Johnson,National Union   [i]   ( Democratic )   [j],3,16,3,4,1,2,1,13,13,4,8,68,4107,1.655709764
1970,Nixon,Republican,3,23,0,1,0,1,3,25,4,2,4,66,4455,1.481481481
1971,Nixon,Republican,5,23,9,5,2,1,3,32,2,5,2,89,4475,1.988826816
1972,Nixon,Republican,0,16,6,1,1,3,1,18,6,4,3,59,3967,1.487269977
1973,Nixon,Republican,1,13,2,1,0,1,1,6,2,6,1,34,1655,2.054380665
1974,Nixon,Republican,7,33,4,4,5,0,1,18,2,7,12,93,5154,1.804423749
1975,Ford,Republican,1,12,3,0,4,0,3,7,3,1,7,41,4103,0.999268828
1976,Ford,Republican,2,32,5,4,0,0,7,16,4,1,7,78,4951,1.575439305
1977,Ford,Republican,2,17,3,4,0,1,0,12,2,3,9,53,4640,1.142241379
1978,Carter,Democratic,3,23,0,2,5,4,1,12,3,11,8,72,4580,1.572052402
1979,Carter,Democratic,6,30,5,5,0,5,1,4,3,5,7,71,3243,2.189330866
1980,Carter,Democratic,3,7,5,0,1,0,0,8,3,7,13,47,3396,1.383981154
1981,Carter,Democratic,18,74,29,23,5,1,4,37,24,19,73,307,33564,0.91467048
1982,Reagan,Republican,4,26,5,6,0,4,0,3,4,15,0,67,5195,1.289701636
1983,Reagan,Republican,3,35,7,11,1,0,1,5,8,10,5,86,5572,1.543431443
1984,Reagan,Republican,5,16,2,14,1,8,7,18,15,10,3,99,4973,1.99075005
1985,Reagan,Republican,3,19,6,9,0,6,4,19,8,7,4,85,4250,2
1986,Reagan,Republican,5,15,1,10,1,5,12,13,6,6,4,78,3507,2.224123182
1987,Reagan,Republican,3,16,3,7,0,0,1,6,3,4,6,49,3803,1.288456482
1988,Reagan,Republican,4,24,4,8,2,0,16,11,9,6,4,88,4855,1.812564367
1989,Bush,Republican,6,16,6,10,3,2,1,13,11,3,1,72,4821,1.493466086
1990,Bush,Republican,1,23,12,15,0,2,5,9,10,2,3,82,3770,2.175066313
1991,Bush,Republican,3,25,1,7,0,0,1,5,2,5,12,61,3765,1.620185923
1992,Bush,Republican,0,22,14,11,0,1,8,4,2,9,2,73,4718,1.547265791
1993,Clinton,Democratic,4,42,16,21,1,1,3,9,6,7,5,115,7007,1.641215927
1994,Clinton,Democratic,4,42,9,23,3,0,12,3,9,8,4,117,7400,1.581081081
1995,Clinton,Democratic,5,40,12,25,1,2,6,9,7,17,5,129,9143,1.410915454
1996,Clinton,Democratic,5,49,2,45,0,2,9,5,3,18,5,143,6283,2.275982811
1997,Clinton,Democratic,2,38,5,37,2,2,7,10,3,13,4,123,6742,1.824384456
1998,Clinton,Democratic,7,38,9,44,2,1,9,8,8,12,7,145,7283,1.9909378
1999,Clinton,Democratic,0,48,5,29,3,0,6,8,10,8,3,120,7472,1.605995717
2000,Clinton,Democratic,4,46,6,52,1,3,7,14,4,7,2,146,7387,1.976445106
2001,Bush,Republican,2,13,2,18,1,4,4,11,7,6,2,70,4395,1.592718999
2002,Bush,Republican,4,23,2,9,2,1,0,10,5,5,6,67,3824,1.75209205
2003,Bush,Republican,10,31,3,10,1,4,2,11,4,3,15,94,5372,1.74981385
2004,Bush,Republican,7,27,3,22,0,6,0,14,2,5,10,96,5171,1.856507445
2005,Bush,Republican,3,18,5,15,0,3,1,14,5,4,6,74,5049,1.46563676
2006,Bush,Republican,7,28,5,10,1,4,1,11,20,6,7,100,5321,1.879345988
2007,Bush,Republican,5,21,2,15,0,2,1,14,10,10,12,92,5598,1.643444087
2008,Bush,Republican,7,31,5,12,0,4,0,6,13,9,4,91,5752,1.582058414
2009,Obama,Democratic,1,38,2,14,11,0,6,5,4,3,5,89,5940,1.498316498
2010,Obama,Democratic,4,46,11,9,3,2,3,6,4,6,7,101,7106,1.421334084
2011,Obama,Democratic,4,31,10,15,2,3,4,8,3,6,4,90,6940,1.296829971
2012,Obama,Democratic,7,54,9,3,4,0,3,9,2,8,6,105,6987,1.502790897
2013,Obama,Democratic,2,31,8,11,3,3,1,6,2,9,9,85,6467,1.314365239
2014,Obama,Democratic,3,48,7,10,2,3,2,6,1,12,7,101,6778,1.490115078
2015,Obama,Democratic,5,37,6,15,5,1,7,9,5,8,8,106,6727,1.575739557
2016,Obama,Democratic,3,31,20,3,3,1,3,4,3,7,3,81,5438,1.489518205
2017,Trump,Republican,4,48,2,13,0,2,4,23,6,4,15,121,5036,2.402700556
2018,Trump,Republican,6,55,2,7,1,2,10,15,4,13,7,122,5190,2.350674374
